Date,Time,Ozone (ppm),Nitrogen Dioxide (ppm),Sulfur Dioxide (ppm),Benzene (ppb),Toluene (ppb),Xylenes (total) (ppb),Formaldehyde (ppb)
01/01/2022,00:00,0.009,0.001,0.000,0.6,0.6,4.9,2.9
01/01/2022,01:00,0.011,0.001,0.000,0.6,1.1,8.1,1.7
01/01/2022,02:00,0.009,0.001,0.000,1.2,0.4,9.8,3.2
01/01/2022,03:00,0.009,0.001,0.000,0.9,0.4,10.1,2.5
01/01/2022,04:00,0.010,0.001,0.000,1.3,0.9,12.6,2.5
01/01/2022,05:00,0.009,0.001,0.000,1.1,1.2,9.9,3.4
01/01/2022,06:00,0.010,0.001,0.000,0.6,0.8,2.1,2.5
01/01/2022,07:00,0.009,0.001,0.000,0.3,0.8,5.6,3.6
01/01/2022,08:00,0.010,0.001,0.000,1.4,1.0,6.9,1.1
01/01/2022,09:00,0.009,0.001,0.000,0.8,0.8,6.5,3.8
01/01/2022,10:00,0.011,0.001,0.005,0.9,0.8,8.9,3.3
01/01/2022,11:00,0.011,0.001,0.004,0.9,1.1,2.6,3.5
01/01/2022,12:00,0.011,0.000,0.003,0.5,1.2,7.8,4.3
01/01/2022,13:00,0.012,0.001,0.001,0.9,1.3,5.1,3.4
01/01/2022,14:00,0.012,0.002,0.002,1.8,1.1,3.2,0.8
01/01/2022,15:00,0.011,0.002,0.000,0.8,1.1,6.7,1.7
01/01/2022,16:00,0.012,0.001,0.000,1.2,0.1,3.9,0.7
01/01/2022,17:00,0.011,0.002,0.003,0.7,0.6,2.2,1.1
01/01/2022,18:00,0.010,0.003,0.002,0.9,1.0,12.0,4.7
01/01/2022,19:00,0.012,0.001,0.003,1.1,0.8,3.8,2.1
01/01/2022,20:00,0.012,0.001,0.002,0.7,0.6,2.9,1.3
01/01/2022,21:00,0.013,0.001,0.000,0.7,1.0,6.1,2.8
01/01/2022,22:00,0.012,0.001,0.000,0.7,0.5,7.7,2.5
01/01/2022,23:00,0.012,0.002,0.000,1.0,1.1,7.7,3.5
02/01/2022,00:00,0.012,0.001,0.000,0.2,1.1,11.5,4.0
02/01/2022,01:00,0.011,0.001,0.000,0.8,0.9,7.6,3.7
02/01/2022,02:00,0.009,0.001,0.000,0.4,0.9,0.9,4.4
02/01/2022,03:00,0.009,0.001,0.000,0.5,0.8,8.0,4.1
02/01/2022,04:00,0.009,0.002,0.000,0.3,1.5,7.2,4.3
02/01/2022,05:00,0.008,0.002,0.000,0.9,1.3,13.4,3.9
02/01/2022,06:00,0.011,0.001,0.000,0.8,0.9,8.6,2.7
02/01/2022,07:00,0.013,0.001,0.000,1.1,1.4,10.0,4.6
02/01/2022,08:00,0.014,0.000,0.000,,,,3.5
02/01/2022,09:00,0.016,0.001,0.000,1.5,1.4,8.7,2.5
02/01/2022,10:00,0.018,0.001,0.000,1.0,1.0,3.5,2.6
02/01/2022,11:00,0.020,0.003,0.002,1.6,0.7,6.9,3.0
02/01/2022,12:00,0.026,0.002,0.002,1.5,0.8,11.0,3.1
02/01/2022,13:00,0.032,0.002,0.002,1.1,0.4,4.0,1.5
02/01/2022,14:00,0.027,0.002,0.001,1.9,,7.3,1.2
02/01/2022,15:00,0.026,0.001,0.001,1.0,0.3,15.6,0.7
02/01/2022,16:00,0.026,0.002,0.001,1.5,0.8,10.0,0.9
02/01/2022,17:00,0.025,0.002,0.000,1.6,1.1,3.4,0.2
02/01/2022,18:00,0.023,0.002,0.000,1.1,0.8,10.6,3.6
02/01/2022,19:00,0.021,0.005,0.001,1.6,1.2,9.1,1.4
02/01/2022,20:00,0.022,0.004,0.000,0.8,0.5,8.6,2.0
02/01/2022,21:00,0.020,0.002,0.000,0.6,0.8,5.0,2.3
02/01/2022,22:00,0.017,0.001,0.000,0.7,1.0,5.2,2.8
02/01/2022,23:00,0.015,0.001,0.000,0.5,1.3,7.7,4.1
03/01/2022,00:00,0.017,0.001,0.000,0.3,,11.3,2.3
03/01/2022,01:00,0.013,0.002,0.000,1.0,1.3,7.9,3.6
03/01/2022,02:00,0.007,0.004,0.000,0.3,1.2,4.9,2.7
03/01/2022,03:00,0.005,0.006,0.000,0.2,1.0,4.9,3.1
03/01/2022,04:00,0.004,0.009,0.000,0.5,1.9,5.8,3.8
03/01/2022,05:00,0.007,0.006,0.001,1.1,2.1,14.2,3.6
03/01/2022,06:00,0.012,0.003,0.000,0.6,,6.8,2.5
03/01/2022,07:00,0.014,0.006,0.005,0.8,1.0,9.1,2.1
03/01/2022,08:00,0.010,0.018,0.033,0.4,0.7,3.1,4.1
03/01/2022,09:00,0.015,0.021,0.024,1.0,1.4,2.2,2.7
03/01/2022,10:00,0.020,0.014,0.022,0.9,0.6,4.0,3.7
03/01/2022,11:00,0.035,0.002,0.001,1.5,,8.3,0.4
03/01/2022,12:00,0.035,0.002,0.001,1.5,,7.0,1.5
03/01/2022,13:00,0.038,0.002,0.001,1.6,0.4,8.6,2.4
03/01/2022,14:00,0.042,0.003,0.002,1.6,1.3,6.5,1.9
03/01/2022,15:00,0.037,0.003,0.002,,,,
03/01/2022,16:00,0.026,0.002,0.000,1.7,0.9,10.1,1.4
03/01/2022,17:00,0.023,0.004,0.001,1.7,1.2,9.3,1.5
03/01/2022,18:00,0.022,0.002,0.000,1.0,1.0,9.5,2.3
03/01/2022,19:00,0.027,0.002,0.001,1.8,1.5,13.8,2.5
03/01/2022,20:00,0.030,0.001,0.001,0.5,0.5,9.7,1.9
03/01/2022,21:00,0.026,0.001,0.001,0.9,0.6,10.8,1.0
03/01/2022,22:00,0.021,0.002,0.001,0.6,,11.3,0.3
03/01/2022,23:00,0.023,0.002,0.000,0.7,,11.5,1.3
04/01/2022,00:00,0.026,0.001,0.000,1.4,0.4,8.1,2.0
04/01/2022,01:00,0.027,0.001,0.000,0.8,0.8,12.6,2.1
04/01/2022,02:00,0.025,0.001,0.000,0.5,0.9,8.4,2.5
04/01/2022,03:00,0.022,0.002,0.000,0.6,0.2,6.4,3.5
