Date,Time,Wind Direction (degTN),Wind Speed (m/s),Wind Sigma Theta (deg),Wind Speed Std Dev (m/s),Air Temperature (degC),Relative Humidity (%),Rainfall (mm),Barometric Pressure (hPa),Solar Radiation (w/m^2),Nitrogen Oxide (ppm),Nitrogen Dioxide (ppm),Nitrogen Oxides (ppm),Sulfur Dioxide (ppm),PM10 (ug/m^3),PM2.5 (ug/m^3),Visibility-reducing Particles (Mm^-1)
01/01/2022,00:00,148,3.7,14.8,1.3,25.0,71.1,0.0,1005,0,0.000,0.000,0.001,0.000,9.9,3.5,15
01/01/2022,01:00,150,3.5,15.2,1.2,24.7,72.4,0.0,1005,0,0.000,0.000,0.001,0.000,9.6,4.1,8
01/01/2022,02:00,153,3.3,15.5,1.2,24.8,72.9,0.0,1004,0,0.001,0.001,0.001,0.000,10.2,5.5,12
01/01/2022,03:00,158,3.2,16.5,1.2,24.7,72.9,0.0,1004,0,0.000,0.000,0.000,0.000,8.5,3.1,14
01/01/2022,04:00,145,2.7,15.4,1.0,24.6,73.4,0.0,1005,0,0.001,0.000,0.001,0.000,7.1,2.1,16
01/01/2022,05:00,152,3.2,15.3,1.1,24.5,74.1,0.0,1006,21,0.001,0.001,0.001,0.000,7.5,2.5,15
01/01/2022,06:00,155,3.5,17.6,1.2,24.5,75.4,0.0,1006,122,0.001,0.000,0.001,0.000,6.6,3.5,14
01/01/2022,07:00,153,4.3,15.0,1.4,25.3,73.3,0.0,1006,329,0.001,0.000,0.001,0.000,3.8,1.5,13
01/01/2022,08:00,146,4.4,16.2,1.5,26.5,68.5,0.0,1007,607,0.001,0.000,0.001,0.000,4.5,3.4,8
01/01/2022,09:00,129,4.0,13.6,1.3,27.2,66.2,0.0,1007,336,0.002,0.001,0.003,0.000,5.1,4.1,9
01/01/2022,10:00,122,4.3,14.0,1.5,27.2,66.8,0.0,1006,497,0.001,0.001,0.002,0.003,5.7,3.9,7
01/01/2022,11:00,138,4.6,13.9,1.5,27.3,67.2,0.0,1006,588,0.003,0.002,0.005,0.004,1.2,-0.6,7
01/01/2022,12:00,131,3.9,16.8,1.4,28.2,62.9,0.0,1005,950,0.003,0.001,0.004,0.003,5.9,4.2,5
01/01/2022,13:00,133,3.5,18.2,1.1,29.0,58.1,0.0,1005,800,0.003,0.001,0.004,0.001,3.7,3.6,4
01/01/2022,14:00,122,3.7,14.6,1.2,29.1,56.8,0.0,1004,757,0.002,0.001,0.003,0.002,3.3,2.1,5
01/01/2022,15:00,97,2.3,16.8,1.0,28.9,58.3,0.0,1004,455,0.014,0.004,0.018,0.006,9.7,4.3,9
01/01/2022,16:00,87,2.4,15.6,1.0,28.8,59.9,0.0,1004,282,0.032,0.010,0.042,0.018,11.5,4.7,16
01/01/2022,17:00,103,3.6,10.6,1.2,27.4,66.2,0.0,1004,173,0.002,0.001,0.003,0.001,17.6,6.6,18
01/01/2022,18:00,111,3.3,12.6,1.2,26.8,67.3,0.0,1005,11,0.002,0.001,0.003,0.000,12.6,5.5,19
01/01/2022,19:00,129,3.5,12.3,1.1,26.1,66.8,0.0,1006,0,0.001,0.001,0.002,0.003,12.4,5.6,14
01/01/2022,20:00,135,2.8,16.2,1.0,25.0,68.7,0.0,1006,0,0.001,0.001,0.002,0.002,9.1,5.5,12
01/01/2022,21:00,134,1.9,15.6,0.7,24.3,68.8,0.0,1007,0,0.001,0.001,0.002,0.000,7.8,5.2,9
