Datetime ID,Date (YYYY/MM/DD),Hour (24:00),brisbane PM10 (ug/m3),brisbane PM2.5 (ug/m3),brisbane VRPs (Mm-1),gladstone PM10 (ug/m3),gladstone PM2.5 (ug/m3),gladstone VRPs (Mm-1)
1,2022-01-01,00:00:00,24.1,8.8,20,14.1,3.5,15
2,2022-01-01,01:00:00,24.6,8.7,13,11.6,4.1,8
3,2022-01-01,02:00:00,22.7,8.6,17,14.5,5.5,12
4,2022-01-01,03:00:00,18.7,7.7,17,14.8,3.1,14
5,2022-01-01,04:00:00,14.6,6.4,14,16.2,2.1,16
6,2022-01-01,05:00:00,11.1,4.7,10,14.9,2.5,15
7,2022-01-01,06:00:00,10,4.9,13,13.8,3.5,14
8,2022-01-01,07:00:00,9.3,4,9,13.1,1.5,13
9,2022-01-01,08:00:00,10.3,4.3,9,8.5,3.4,8
10,2022-01-01,09:00:00,11.1,4.8,10,9.8,4.1,9
11,2022-01-01,10:00:00,13,5.3,11,14.1,3.9,7
12,2022-01-01,11:00:00,13.7,5.9,13,11.9,-0.6,7
13,2022-01-01,12:00:00,14.3,6.3,14,8.4,4.2,5
14,2022-01-01,13:00:00,12.2,5.4,13,3.7,3.6,4
15,2022-01-01,14:00:00,12.8,5.7,13,3.3,2.1,5
16,2022-01-01,15:00:00,11,4.8,10,9.7,4.3,9
17,2022-01-01,16:00:00,12.9,5.5,12,11.5,4.7,16
18,2022-01-01,17:00:00,16.1,6.6,15,17.6,6.6,18
19,2022-01-01,18:00:00,17.1,7.2,17,12.6,5.5,19
20,2022-01-01,19:00:00,13.9,6,15,12.4,5.6,14
21,2022-01-01,20:00:00,14.9,5.9,14,9.1,5.5,12
22,2022-01-01,21:00:00,14.9,5.6,13,7.8,5.2,9
23,2022-01-01,22:00:00,12.4,4.5,10,7.5,4.9,11
24,2022-01-01,23:00:00,11.6,4.4,9,9.4,5.4,13
25,2022-01-02,00:00:00,11.5,3.8,7,8.1,4,11
26,2022-01-02,01:00:00,12.1,3.9,6,6.2,2.3,8
27,2022-01-02,02:00:00,12.1,4.1,7,8.6,4.8,8
28,2022-01-02,03:00:00,12.6,4,7,2.9,0.1,7
29,2022-01-02,04:00:00,10.7,3.7,7,6.2,3.6,8
30,2022-01-02,05:00:00,11.3,3.7,7,10.7,7.8,8
31,2022-01-02,06:00:00,10.7,3.7,6,8.4,5.1,9
32,2022-01-02,07:00:00,10.5,3.8,7,5,2.6,8
33,2022-01-02,08:00:00,13.7,5,8,6.2,3.4,8
34,2022-01-02,09:00:00,15,5.4,8,5.9,3.1,7
35,2022-01-02,10:00:00,13.6,5,8,3.5,0.4,7
36,2022-01-02,11:00:00,12.7,4.9,8,10.3,6.8,8
37,2022-01-02,12:00:00,14.3,5.3,10,8.6,5.6,9
38,2022-01-02,13:00:00,12.1,5.1,10,11.7,6.6,11
39,2022-01-02,14:00:00,12.5,5.3,10,13.4,8,10
40,2022-01-02,15:00:00,11.8,4.7,9,11.5,6.1,11
41,2022-01-02,16:00:00,11.2,4.6,9,11.1,6.6,10
42,2022-01-02,17:00:00,12.2,5.3,11,14.1,9.8,11
43,2022-01-02,18:00:00,20.8,8,19,12,7.3,11
44,2022-01-02,19:00:00,20.8,8.9,21,10.2,4.8,12
45,2022-01-02,20:00:00,18.6,7.6,16,9.9,3,13
46,2022-01-02,21:00:00,15.2,5.8,10,11,4.3,12
47,2022-01-02,22:00:00,15.2,5.4,9,10.4,3.9,14
48,2022-01-02,23:00:00,13.6,4.7,8,11.8,4.8,13
49,2022-01-03,00:00:00,12.3,4.8,8,7.4,1.9,12
50,2022-01-03,01:00:00,13.1,4.7,6,6.8,1.2,8
