Datetime ID,Date-Time,Date (YYYY/MM/DD),Hour (24:00),Month,Month Value,Season (Meteorological),Season (Meteorological) Value,Season (Astronomical),Season (Astronomical) Value,Brisbane Humidity (%),Gladstone Humidity (%),Brisbane Rainfall (mm),Gladstone Rainfall (mm),Brisbane Temperature (degC),Gladstone Temperature (degC),Brisbane Barometric Pressure (hPa),Gladstone Barometric Pressure (hPa)
1,2022-01-01 01:00:00+11,2022-01-01,00:00:00,January  ,1,Summer,1,Summer,1,72.6,72,0,0.4,23.2,24.6,1008,1002
2,2022-01-01 02:00:00+11,2022-01-01,01:00:00,January  ,1,Summer,1,Summer,1,72.6,73,0,0,23.1,24.4,1007,1002
3,2022-01-01 03:00:00+11,2022-01-01,02:00:00,January  ,1,Summer,1,Summer,1,76.5,74.2,0.1,0,22.7,24.3,1007,1002
4,2022-01-01 04:00:00+11,2022-01-01,03:00:00,January  ,1,Summer,1,Summer,1,81.8,73.6,0,0,21.9,24.4,1007,1002
5,2022-01-01 05:00:00+11,2022-01-01,04:00:00,January  ,1,Summer,1,Summer,1,82.4,74.1,0,0,21.6,24.3,1007,1002
6,2022-01-01 06:00:00+11,2022-01-01,05:00:00,January  ,1,Summer,1,Summer,1,83.4,74.6,0,0,21.3,24.1,1008,1003
7,2022-01-01 07:00:00+11,2022-01-01,06:00:00,January  ,1,Summer,1,Summer,1,84.8,75.4,0,0,21.1,24.3,1008,1003
8,2022-01-01 08:00:00+11,2022-01-01,07:00:00,January  ,1,Summer,1,Summer,1,83.7,75,0,0,21.7,24.7,1008,1003
9,2022-01-01 09:00:00+11,2022-01-01,08:00:00,January  ,1,Summer,1,Summer,1,81.8,70.8,0,0,22.2,25.7,1008,1004
10,2022-01-01 10:00:00+11,2022-01-01,09:00:00,January  ,1,Summer,1,Summer,1,80.8,67.9,0.3,0,22.5,26.4,1008,1003
11,2022-01-01 11:00:00+11,2022-01-01,10:00:00,January  ,1,Summer,1,Summer,1,76.6,68.5,0.4,0,23.1,26.4,1008,1003
12,2022-01-01 12:00:00+11,2022-01-01,11:00:00,January  ,1,Summer,1,Summer,1,82.2,69.5,1.5,0,22,26.4,1008,1003
13,2022-01-01 13:00:00+11,2022-01-01,12:00:00,January  ,1,Summer,1,Summer,1,81.7,66.4,0.2,0,22,27.1,1008,1003
14,2022-01-01 14:00:00+11,2022-01-01,13:00:00,January  ,1,Summer,1,Summer,1,77.2,62.2,0,0,23,27.9,1007,1002
15,2022-01-01 15:00:00+11,2022-01-01,14:00:00,January  ,1,Summer,1,Summer,1,72.9,62.5,0,0,23.9,27.8,1006,1001
16,2022-01-01 16:00:00+11,2022-01-01,15:00:00,January  ,1,Summer,1,Summer,1,80.3,62.1,1.3,0,21.5,27.6,1006,1001
17,2022-01-01 17:00:00+11,2022-01-01,16:00:00,January  ,1,Summer,1,Summer,1,77.4,65.1,0,0,22.7,27.4,1006,1001
18,2022-01-01 18:00:00+11,2022-01-01,17:00:00,January  ,1,Summer,1,Summer,1,73.5,68,0,0,23.6,26.7,1006,1001
19,2022-01-01 19:00:00+11,2022-01-01,18:00:00,January  ,1,Summer,1,Summer,1,77.6,68.9,0,0,23.3,26.4,1006,1002
20,2022-01-01 20:00:00+11,2022-01-01,19:00:00,January  ,1,Summer,1,Summer,1,80.9,68,0.1,0,22.8,25.8,1007,1003
21,2022-01-01 21:00:00+11,2022-01-01,20:00:00,January  ,1,Summer,1,Summer,1,82.6,69.1,0,0,22.2,24.7,1007,1003
22,2022-01-01 22:00:00+11,2022-01-01,21:00:00,January  ,1,Summer,1,Summer,1,82.3,69.4,0,0,21.8,23.9,1007,1004
23,2022-01-01 23:00:00+11,2022-01-01,22:00:00,January  ,1,Summer,1,Summer,1,82.6,71.6,0,0,21.4,23.4,1006,1004
24,2022-01-02 00:00:00+11,2022-01-01,23:00:00,January  ,1,Summer,1,Summer,1,82.6,74.7,0,0,21.2,22.9,1006,1003
25,2022-01-02 01:00:00+11,2022-01-02,00:00:00,January  ,1,Summer,1,Summer,1,80.6,74.5,0,0,21.6,22.7,1005,1002
26,2022-01-02 02:00:00+11,2022-01-02,01:00:00,January  ,1,Summer,1,Summer,1,80.5,76.4,0,0,21,22.1,1005,1002
27,2022-01-02 03:00:00+11,2022-01-02,02:00:00,January  ,1,Summer,1,Summer,1,81.5,80.1,0,0,20.7,21.2,1004,1002
28,2022-01-02 04:00:00+11,2022-01-02,03:00:00,January  ,1,Summer,1,Summer,1,81.8,80.9,0,0,20.5,20.9,1004,1002
29,2022-01-02 05:00:00+11,2022-01-02,04:00:00,January  ,1,Summer,1,Summer,1,81.5,81.5,0,0,20.4,20.7,1004,1002
30,2022-01-02 06:00:00+11,2022-01-02,05:00:00,January  ,1,Summer,1,Summer,1,79.8,81.1,0,0,20.7,20.7,1004,1003
31,2022-01-02 07:00:00+11,2022-01-02,06:00:00,January  ,1,Summer,1,Summer,1,72.7,75.2,0,0,22.1,21.8,1005,1003
32,2022-01-02 08:00:00+11,2022-01-02,07:00:00,January  ,1,Summer,1,Summer,1,65.2,67.4,0,0,23.7,23.7,1005,1003
33,2022-01-02 09:00:00+11,2022-01-02,08:00:00,January  ,1,Summer,1,Summer,1,57.6,61.4,0,0,25,25.2,1004,1003
