Datetime ID,Date-Time,Date (YYYY/MM/DD),Hour (24:00),brisbane humidity (%),brisbane rainfall (mm),brisbane temperature (degC),brisbane Barometric Pressure (hPa),gladstone humidity (%),gladstone rainfall (mm),gladstone temperature (degC),gladstone Barometric Pressure (hPa)
1,2022-01-01 01:00:00+11,2022-01-01,00:00:00,72.6,0,23.2,1008,72,0.4,24.6,1002
2,2022-01-01 02:00:00+11,2022-01-01,01:00:00,72.6,0,23.1,1007,73,0,24.4,1002
3,2022-01-01 03:00:00+11,2022-01-01,02:00:00,76.5,0.1,22.7,1007,74.2,0,24.3,1002
4,2022-01-01 04:00:00+11,2022-01-01,03:00:00,81.8,0,21.9,1007,73.6,0,24.4,1002
5,2022-01-01 05:00:00+11,2022-01-01,04:00:00,82.4,0,21.6,1007,74.1,0,24.3,1002
6,2022-01-01 06:00:00+11,2022-01-01,05:00:00,83.4,0,21.3,1008,74.6,0,24.1,1003
7,2022-01-01 07:00:00+11,2022-01-01,06:00:00,84.8,0,21.1,1008,75.4,0,24.3,1003
8,2022-01-01 08:00:00+11,2022-01-01,07:00:00,83.7,0,21.7,1008,75,0,24.7,1003
9,2022-01-01 09:00:00+11,2022-01-01,08:00:00,81.8,0,22.2,1008,70.8,0,25.7,1004
10,2022-01-01 10:00:00+11,2022-01-01,09:00:00,80.8,0.3,22.5,1008,67.9,0,26.4,1003
11,2022-01-01 11:00:00+11,2022-01-01,10:00:00,76.6,0.4,23.1,1008,68.5,0,26.4,1003
12,2022-01-01 12:00:00+11,2022-01-01,11:00:00,82.2,1.5,22,1008,69.5,0,26.4,1003
13,2022-01-01 13:00:00+11,2022-01-01,12:00:00,81.7,0.2,22,1008,66.4,0,27.1,1003
14,2022-01-01 14:00:00+11,2022-01-01,13:00:00,77.2,0,23,1007,62.2,0,27.9,1002
15,2022-01-01 15:00:00+11,2022-01-01,14:00:00,72.9,0,23.9,1006,62.5,0,27.8,1001
16,2022-01-01 16:00:00+11,2022-01-01,15:00:00,80.3,1.3,21.5,1006,62.1,0,27.6,1001
17,2022-01-01 17:00:00+11,2022-01-01,16:00:00,77.4,0,22.7,1006,65.1,0,27.4,1001
18,2022-01-01 18:00:00+11,2022-01-01,17:00:00,73.5,0,23.6,1006,68,0,26.7,1001
19,2022-01-01 19:00:00+11,2022-01-01,18:00:00,77.6,0,23.3,1006,68.9,0,26.4,1002
20,2022-01-01 20:00:00+11,2022-01-01,19:00:00,80.9,0.1,22.8,1007,68,0,25.8,1003
21,2022-01-01 21:00:00+11,2022-01-01,20:00:00,82.6,0,22.2,1007,69.1,0,24.7,1003
22,2022-01-01 22:00:00+11,2022-01-01,21:00:00,82.3,0,21.8,1007,69.4,0,23.9,1004
23,2022-01-01 23:00:00+11,2022-01-01,22:00:00,82.6,0,21.4,1006,71.6,0,23.4,1004
24,2022-01-02 00:00:00+11,2022-01-01,23:00:00,82.6,0,21.2,1006,74.7,0,22.9,1003
25,2022-01-02 01:00:00+11,2022-01-02,00:00:00,80.6,0,21.6,1005,74.5,0,22.7,1002
26,2022-01-02 02:00:00+11,2022-01-02,01:00:00,80.5,0,21,1005,76.4,0,22.1,1002
27,2022-01-02 03:00:00+11,2022-01-02,02:00:00,81.5,0,20.7,1004,80.1,0,21.2,1002
28,2022-01-02 04:00:00+11,2022-01-02,03:00:00,81.8,0,20.5,1004,80.9,0,20.9,1002
29,2022-01-02 05:00:00+11,2022-01-02,04:00:00,81.5,0,20.4,1004,81.5,0,20.7,1002
30,2022-01-02 06:00:00+11,2022-01-02,05:00:00,79.8,0,20.7,1004,81.1,0,20.7,1003
31,2022-01-02 07:00:00+11,2022-01-02,06:00:00,72.7,0,22.1,1005,75.2,0,21.8,1003
32,2022-01-02 08:00:00+11,2022-01-02,07:00:00,65.2,0,23.7,1005,67.4,0,23.7,1003
33,2022-01-02 09:00:00+11,2022-01-02,08:00:00,57.6,0,25,1004,61.4,0,25.2,1003
34,2022-01-02 10:00:00+11,2022-01-02,09:00:00,54,0,25.7,1004,56.1,0,26.6,1003
35,2022-01-02 11:00:00+11,2022-01-02,10:00:00,50.6,0,26.5,1003,57.8,0,27,1002
36,2022-01-02 12:00:00+11,2022-01-02,11:00:00,49,0,26.9,1003,56.6,0,27.4,1001
37,2022-01-02 13:00:00+11,2022-01-02,12:00:00,65.3,0.5,24.2,1003,58.6,0,27.4,1000
38,2022-01-02 14:00:00+11,2022-01-02,13:00:00,59.8,0,25.1,1002,61.6,0,27.3,999
39,2022-01-02 15:00:00+11,2022-01-02,14:00:00,60.6,0,25,1002,61,0,28.1,999
40,2022-01-02 16:00:00+11,2022-01-02,15:00:00,56.3,0,25.5,1002,62.6,0,28,998
41,2022-01-02 17:00:00+11,2022-01-02,16:00:00,59.4,0,25,1001,66.8,0,26.8,998
42,2022-01-02 18:00:00+11,2022-01-02,17:00:00,59.9,0,25.3,1001,68.9,0,26.5,999
43,2022-01-02 19:00:00+11,2022-01-02,18:00:00,65,0,25,1002,72.2,0,26,999
44,2022-01-02 20:00:00+11,2022-01-02,19:00:00,62.1,0,24.4,1002,73.9,0,25.7,1000
45,2022-01-02 21:00:00+11,2022-01-02,20:00:00,55.1,0,23.8,1002,75.6,0,25.7,1000
46,2022-01-02 22:00:00+11,2022-01-02,21:00:00,57.1,0,23.2,1002,71.8,0,25.5,1001
47,2022-01-02 23:00:00+11,2022-01-02,22:00:00,59.3,0,22.9,1002,73.4,0,25.3,1001
48,2022-01-03 00:00:00+11,2022-01-02,23:00:00,61.8,0,22.5,1001,74.2,0,25.1,1001
49,2022-01-03 01:00:00+11,2022-01-03,00:00:00,62.9,0,22.2,1000,75.2,0,24.9,1000
50,2022-01-03 02:00:00+11,2022-01-03,01:00:00,63.6,0,22.1,1000,76.8,0,24.6,1000
51,2022-01-03 03:00:00+11,2022-01-03,02:00:00,64,0,22,999,81.9,0,23.8,1000
52,2022-01-03 04:00:00+11,2022-01-03,03:00:00,65.6,0,21.5,999,84,0,23.4,999
53,2022-01-03 05:00:00+11,2022-01-03,04:00:00,65,0,21.7,999,84.2,0,22.9,999
54,2022-01-03 06:00:00+11,2022-01-03,05:00:00,64.3,0,21.9,1000,84.9,0,22.6,999
55,2022-01-03 07:00:00+11,2022-01-03,06:00:00,59.1,0,23.3,1000,81,0,23.5,1000
56,2022-01-03 08:00:00+11,2022-01-03,07:00:00,55.4,0,24.4,1000,78.2,0,24.7,1000
57,2022-01-03 09:00:00+11,2022-01-03,08:00:00,52.5,0,25.3,999,72.4,0,26.5,1000
58,2022-01-03 10:00:00+11,2022-01-03,09:00:00,48.9,0,26.3,999,68.1,0,28.2,999
59,2022-01-03 11:00:00+11,2022-01-03,10:00:00,45.8,0,27.3,999,57.4,0,29.4,999
60,2022-01-03 12:00:00+11,2022-01-03,11:00:00,45.4,0,27.8,999,46.7,0,31.4,998
61,2022-01-03 13:00:00+11,2022-01-03,12:00:00,45.6,0,28,999,70,0,28.4,997
62,2022-01-03 14:00:00+11,2022-01-03,13:00:00,47.4,0,27.8,998,65.5,0,29.1,997
63,2022-01-03 15:00:00+11,2022-01-03,14:00:00,44.3,0,28.6,998,61.9,0,29.7,996
64,2022-01-03 16:00:00+11,2022-01-03,15:00:00,44.1,0,28.8,997,54.1,0,31.1,995
65,2022-01-03 17:00:00+11,2022-01-03,16:00:00,45.4,0,28.6,997,23.8,0,35.6,995
66,2022-01-03 18:00:00+11,2022-01-03,17:00:00,43.8,0,28.8,998,63,0,30.2,995
67,2022-01-03 19:00:00+11,2022-01-03,18:00:00,44,0,28.3,998,83.9,0,27.4,997
68,2022-01-03 20:00:00+11,2022-01-03,19:00:00,47.1,0,27.3,999,83.6,0,26.6,998
69,2022-01-03 21:00:00+11,2022-01-03,20:00:00,50.2,0,26.6,999,82.6,0,26.4,998
70,2022-01-03 22:00:00+11,2022-01-03,21:00:00,53.5,0,25.8,1000,83.4,0,26.1,999
71,2022-01-03 23:00:00+11,2022-01-03,22:00:00,54.5,0,25.2,999,84.6,0,25.9,999
72,2022-01-04 00:00:00+11,2022-01-03,23:00:00,55,0,24.8,999,83.4,0,25.9,998
