Datetime ID,Date-Time,Date (YYYY/MM/DD),Hour (24:00),brisbane nitrogen oxide (ppm),brisbane nitrogen dioxide (ppm),brisbane nitrogen oxides (ppm),brisbane carbon monoxide (ppm),gladstone nitrogen oxide (ppm),gladstone nitrogen dioxide (ppm),gladstone nitrogen oxides (ppm),gladstone sulfur dioxide (ppm),gladstone ozone (ppm),gladstone xylenes (ppb)
1,2022-01-01 01:00:00+11,2022-01-01,00:00:00,0.014,0.009,0.023,0.14,0,0.001,0.001,0,0.009,4.9
2,2022-01-01 02:00:00+11,2022-01-01,01:00:00,0.01,0.01,0.021,0.17,0,0.001,0.001,0,0.011,8.1
3,2022-01-01 03:00:00+11,2022-01-01,02:00:00,0.006,0.008,0.013,0.13,0.001,0.001,0.001,0,0.009,9.8
4,2022-01-01 04:00:00+11,2022-01-01,03:00:00,0.004,0.004,0.008,0.09,0,0.001,0,0,0.009,10.1
5,2022-01-01 05:00:00+11,2022-01-01,04:00:00,0.003,0.004,0.008,0.08,0.001,0.001,0.001,0,0.01,12.6
6,2022-01-01 06:00:00+11,2022-01-01,05:00:00,0.004,0.004,0.008,0.07,0.001,0.001,0.001,0,0.009,9.9
7,2022-01-01 07:00:00+11,2022-01-01,06:00:00,0.004,0.004,0.008,0.08,0.001,0.001,0.001,0,0.01,2.1
8,2022-01-01 08:00:00+11,2022-01-01,07:00:00,0.007,0.005,0.012,0.06,0.001,0.001,0.001,0,0.009,5.6
9,2022-01-01 09:00:00+11,2022-01-01,08:00:00,0.01,0.006,0.016,0.09,0.001,0.001,0.001,0,0.01,6.9
10,2022-01-01 10:00:00+11,2022-01-01,09:00:00,0.012,0.007,0.019,0.1,0.002,0.001,0.003,0,0.009,6.5
11,2022-01-01 11:00:00+11,2022-01-01,10:00:00,0.01,0.006,0.016,0.09,0.001,0.001,0.002,0.005,0.011,8.9
12,2022-01-01 12:00:00+11,2022-01-01,11:00:00,0.013,0.009,0.023,0.12,0.003,0.001,0.005,0.004,0.011,2.6
13,2022-01-01 13:00:00+11,2022-01-01,12:00:00,0.016,0.01,0.026,0.16,0.003,0,0.004,0.003,0.011,7.8
