Date ID,Date (YYYY/MM/DD),Hour (24:00),Brisbane Wind Direction (degN),Gladstone Wind Direction (degN),Brisbane Wind Speed Km/h,Gladstone Wind Speed Km/h,Brisbane Wind Std Deviation Km/h,Gladstone Wind Std Deviation Km/h
1,2022-01-01,00:00:00,148,137,2.1600000858306885,14.040000343322754,1.4400000214576723,4.320000171661377
2,2022-01-01,01:00:00,163,146,2.519999957084656,12.6,1.4400000214576723,4.320000171661377
3,2022-01-01,02:00:00,180,150,2.8800000429153445,10.440000343322755,1.8,3.6
4,2022-01-01,03:00:00,214,149,2.519999957084656,9,1.8,3.6
5,2022-01-01,04:00:00,189,139,3.6,11.159999656677247,1.8,3.6
6,2022-01-01,05:00:00,199,143,3.9600000858306887,11.159999656677247,2.1600000858306885,3.9600000858306887
7,2022-01-01,06:00:00,201,142,2.519999957084656,12.959999656677246,1.8,4.320000171661377
8,2022-01-01,07:00:00,205,139,2.519999957084656,15.119999313354493,1.8,5.039999914169312
9,2022-01-01,08:00:00,188,132,4.320000171661377,18,1.8,4.679999828338623
10,2022-01-01,09:00:00,197,119,4.679999828338623,24.480000686645507,2.1600000858306885,4.679999828338623
11,2022-01-01,10:00:00,198,111,6.8399999141693115,27,2.8800000429153445,5.039999914169312
12,2022-01-01,11:00:00,178,119,3.6,19.8,2.1600000858306885,5.039999914169312
13,2022-01-01,12:00:00,203,116,2.1600000858306885,18.359999656677246,1.4400000214576723,4.679999828338623
14,2022-01-01,13:00:00,206,108,2.519999957084656,18,1.8,4.320000171661377
15,2022-01-01,14:00:00,212,93,1.8,23.400000000000002,1.8,4.679999828338623
16,2022-01-01,15:00:00,108,82,2.8800000429153445,20.519999313354493,2.1600000858306885,3.6
17,2022-01-01,16:00:00,175,80,2.8800000429153445,23.040000343322756,1.8,3.6
18,2022-01-01,17:00:00,147,100,1.8,28.8,1.4400000214576723,4.320000171661377
19,2022-01-01,18:00:00,114,100,1.8,24.840000343322753,1.0800000429153442,4.320000171661377
20,2022-01-01,19:00:00,214,119,2.8800000429153445,19.08000068664551,1.4400000214576723,4.320000171661377
21,2022-01-01,20:00:00,207,123,2.8800000429153445,14.040000343322754,1.4400000214576723,3.6
22,2022-01-01,21:00:00,205,123,3.2399999141693114,13.679999828338623,1.8,2.8800000429153445
23,2022-01-01,22:00:00,215,128,2.1600000858306885,9.359999656677246,1.8,2.1600000858306885
24,2022-01-01,23:00:00,218,143,1.8,6.479999828338623,1.4400000214576723,2.1600000858306885
25,2022-01-02,00:00:00,222,151,0.7200000107288361,5.4,1.0800000429153442,2.1600000858306885
26,2022-01-02,01:00:00,212,227,1.4400000214576723,3.2399999141693114,1.4400000214576723,1.0800000429153442
27,2022-01-02,02:00:00,227,241,1.0800000429153442,5.4,1.0800000429153442,0.7200000107288361
28,2022-01-02,03:00:00,230,237,1.4400000214576723,6.120000171661377,1.4400000214576723,1.0800000429153442
29,2022-01-02,04:00:00,223,239,1.8,6.8399999141693115,1.4400000214576723,1.4400000214576723
30,2022-01-02,05:00:00,228,247,2.1600000858306885,5.4,1.8,1.0800000429153442
31,2022-01-02,06:00:00,226,245,2.1600000858306885,6.479999828338623,2.1600000858306885,1.8
32,2022-01-02,07:00:00,209,242,2.519999957084656,6.8399999141693115,2.1600000858306885,2.1600000858306885
33,2022-01-02,08:00:00,205,228,5.760000085830689,4.679999828338623,3.2399999141693114,2.1600000858306885
34,2022-01-02,09:00:00,202,226,5.760000085830689,3.6,3.2399999141693114,2.519999957084656
35,2022-01-02,10:00:00,204,64,5.4,3.2399999141693114,3.6,2.519999957084656
36,2022-01-02,11:00:00,177,61,5.760000085830689,5.760000085830689,3.6,2.519999957084656
37,2022-01-02,12:00:00,161,48,6.479999828338623,6.479999828338623,3.6,2.8800000429153445
38,2022-01-02,13:00:00,171,50,5.039999914169312,7.2,2.8800000429153445,3.2399999141693114
39,2022-01-02,14:00:00,190,35,4.679999828338623,3.9600000858306887,2.519999957084656,2.1600000858306885
40,2022-01-02,15:00:00,197,41,3.6,4.679999828338623,2.519999957084656,2.8800000429153445
41,2022-01-02,16:00:00,153,51,2.519999957084656,8.279999828338623,1.8,4.320000171661377
42,2022-01-02,17:00:00,177,56,2.8800000429153445,9,1.8,3.6
43,2022-01-02,18:00:00,104,78,1.8,9.720000171661377,1.0800000429153442,2.519999957084656
44,2022-01-02,19:00:00,200,73,1.8,10.079999828338623,1.4400000214576723,2.519999957084656
45,2022-01-02,20:00:00,219,75,3.2399999141693114,12.959999656677246,2.1600000858306885,1.8
46,2022-01-02,21:00:00,217,72,3.6,15.480000686645509,2.1600000858306885,2.519999957084656
